Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.01      0.01     0.01    88818     0.00     0.00  std::vector<long, std::allocator<long> >::size() const
 50.01      0.02     0.01    83054     0.00     0.00  std::vector<long, std::allocator<long> >::end() const
  0.00      0.02     0.00   170159     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator()
  0.00      0.02     0.00   167277     0.00     0.00  __gnu_cxx::new_allocator<long>::~new_allocator()
  0.00      0.02     0.00   167277     0.00     0.00  std::allocator<long>::~allocator()
  0.00      0.02     0.00   166798     0.00     0.00  __gnu_cxx::new_allocator<long>::new_allocator(__gnu_cxx::new_allocator<long> const&)
  0.00      0.02     0.00   166798     0.00     0.00  std::allocator<long>::allocator(std::allocator<long> const&)
  0.00      0.02     0.00   166108     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::__normal_iterator(long const* const&)
  0.00      0.02     0.00   166108     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::base() const
  0.00      0.02     0.00   166108     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__miter_base<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >)
  0.00      0.02     0.00   166108     0.00     0.00  long const* std::__niter_base<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >)
  0.00      0.02     0.00   109240     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> > const*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::base() const
  0.00      0.02     0.00   108470     0.00     0.00  std::vector<long, std::allocator<long> >* std::__addressof<std::vector<long, std::allocator<long> > >(std::vector<long, std::allocator<long> >&)
  0.00      0.02     0.00    91700     0.00     0.00  long* std::__niter_base<long*>(long*)
  0.00      0.02     0.00    88860     0.00     0.00  std::vector<long, std::allocator<long> >::operator[](unsigned long)
  0.00      0.02     0.00    86909     0.00     0.00  __gnu_cxx::new_allocator<long>::max_size() const
  0.00      0.02     0.00    85936     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00    85664     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_deallocate(long*, unsigned long)
  0.00      0.02     0.00    84495     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_allocate(unsigned long)
  0.00      0.02     0.00    84223     0.00     0.00  void std::_Destroy_aux<true>::__destroy<long*>(long*, long*)
  0.00      0.02     0.00    84223     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_Vector_impl::~_Vector_impl()
  0.00      0.02     0.00    84223     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::~_Vector_base()
  0.00      0.02     0.00    84223     0.00     0.00  std::vector<long, std::allocator<long> >::~vector()
  0.00      0.02     0.00    84223     0.00     0.00  void std::_Destroy<long*>(long*, long*)
  0.00      0.02     0.00    84223     0.00     0.00  void std::_Destroy<long*, long>(long*, long*, std::allocator<long>&)
  0.00      0.02     0.00    84027     0.00     0.00  __gnu_cxx::new_allocator<long>::deallocate(long*, unsigned long)
